,vignette,recipient,source,place,type
0,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",license plate reader,a restaurant or a cafe,location1
1,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",license plate reader,the mall,location1
2,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",license plate reader,a liquor store,location1
3,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",license plate reader,a shoe store,location1
4,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",license plate reader,home,location1
5,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",license plate reader,work,location1
6,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",license plate reader,a medical clinic,location1
7,"a city emergency services (e.g., ambulance, fire) acquires location data from license plate reader and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",license plate reader,a voting site,location1
8,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a restaurant or a cafe,location1
9,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,the mall,location1
10,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a liquor store,location1
11,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a shoe store,location1
12,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,home,location1
13,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,work,location1
14,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a medical clinic,location1
15,"a city emergency services (e.g., ambulance, fire) acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",CCTV cameras with facial recognition,a voting site,location1
16,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a restaurant or a cafe,location1
17,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,the mall,location1
18,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a liquor store,location1
19,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a shoe store,location1
20,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,home,location1
21,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,work,location1
22,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a medical clinic,location1
23,"a city emergency services (e.g., ambulance, fire) acquires location data from signal from mobile phone and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",signal from mobile phone,a voting site,location1
24,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a fitness app,a restaurant or a cafe,location1
25,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a fitness app,the mall,location1
26,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",a fitness app,a liquor store,location1
27,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",a fitness app,a shoe store,location1
28,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",a fitness app,home,location1
29,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",a fitness app,work,location1
30,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",a fitness app,a medical clinic,location1
31,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",a fitness app,a voting site,location1
32,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a restaurant or a cafe,location1
33,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,the mall,location1
34,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a liquor store,location1
35,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a shoe store,location1
36,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,home,location1
37,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,work,location1
38,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a medical clinic,location1
39,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a voting site,location1
40,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a mapping app,a restaurant or a cafe,location1
41,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a mapping app,the mall,location1
42,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",a mapping app,a liquor store,location1
43,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",a mapping app,a shoe store,location1
44,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",a mapping app,home,location1
45,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",a mapping app,work,location1
46,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",a mapping app,a medical clinic,location1
47,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",a mapping app,a voting site,location1
48,FBI acquires location data from license plate reader and uses this data to figure out if a person was at a restaurant or a cafe,FBI,license plate reader,a restaurant or a cafe,location1
49,FBI acquires location data from license plate reader and uses this data to figure out if a person was at the mall,FBI,license plate reader,the mall,location1
50,FBI acquires location data from license plate reader and uses this data to figure out if a person was at a liquor store,FBI,license plate reader,a liquor store,location1
51,FBI acquires location data from license plate reader and uses this data to figure out if a person was at a shoe store,FBI,license plate reader,a shoe store,location1
52,FBI acquires location data from license plate reader and uses this data to figure out if a person was at home,FBI,license plate reader,home,location1
53,FBI acquires location data from license plate reader and uses this data to figure out if a person was at work,FBI,license plate reader,work,location1
54,FBI acquires location data from license plate reader and uses this data to figure out if a person was at a medical clinic,FBI,license plate reader,a medical clinic,location1
55,FBI acquires location data from license plate reader and uses this data to figure out if a person was at a voting site,FBI,license plate reader,a voting site,location1
56,FBI acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a restaurant or a cafe,FBI,CCTV cameras with facial recognition,a restaurant or a cafe,location1
57,FBI acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at the mall,FBI,CCTV cameras with facial recognition,the mall,location1
58,FBI acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a liquor store,FBI,CCTV cameras with facial recognition,a liquor store,location1
59,FBI acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a shoe store,FBI,CCTV cameras with facial recognition,a shoe store,location1
60,FBI acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at home,FBI,CCTV cameras with facial recognition,home,location1
61,FBI acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at work,FBI,CCTV cameras with facial recognition,work,location1
62,FBI acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a medical clinic,FBI,CCTV cameras with facial recognition,a medical clinic,location1
63,FBI acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a voting site,FBI,CCTV cameras with facial recognition,a voting site,location1
64,FBI acquires location data from signal from mobile phone and uses this data to figure out if a person was at a restaurant or a cafe,FBI,signal from mobile phone,a restaurant or a cafe,location1
65,FBI acquires location data from signal from mobile phone and uses this data to figure out if a person was at the mall,FBI,signal from mobile phone,the mall,location1
66,FBI acquires location data from signal from mobile phone and uses this data to figure out if a person was at a liquor store,FBI,signal from mobile phone,a liquor store,location1
67,FBI acquires location data from signal from mobile phone and uses this data to figure out if a person was at a shoe store,FBI,signal from mobile phone,a shoe store,location1
68,FBI acquires location data from signal from mobile phone and uses this data to figure out if a person was at home,FBI,signal from mobile phone,home,location1
69,FBI acquires location data from signal from mobile phone and uses this data to figure out if a person was at work,FBI,signal from mobile phone,work,location1
70,FBI acquires location data from signal from mobile phone and uses this data to figure out if a person was at a medical clinic,FBI,signal from mobile phone,a medical clinic,location1
71,FBI acquires location data from signal from mobile phone and uses this data to figure out if a person was at a voting site,FBI,signal from mobile phone,a voting site,location1
72,FBI acquires location data from a fitness app and uses this data to figure out if a person was at a restaurant or a cafe,FBI,a fitness app,a restaurant or a cafe,location1
73,FBI acquires location data from a fitness app and uses this data to figure out if a person was at the mall,FBI,a fitness app,the mall,location1
74,FBI acquires location data from a fitness app and uses this data to figure out if a person was at a liquor store,FBI,a fitness app,a liquor store,location1
75,FBI acquires location data from a fitness app and uses this data to figure out if a person was at a shoe store,FBI,a fitness app,a shoe store,location1
76,FBI acquires location data from a fitness app and uses this data to figure out if a person was at home,FBI,a fitness app,home,location1
77,FBI acquires location data from a fitness app and uses this data to figure out if a person was at work,FBI,a fitness app,work,location1
78,FBI acquires location data from a fitness app and uses this data to figure out if a person was at a medical clinic,FBI,a fitness app,a medical clinic,location1
79,FBI acquires location data from a fitness app and uses this data to figure out if a person was at a voting site,FBI,a fitness app,a voting site,location1
80,FBI acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a restaurant or a cafe,FBI,from geo-tagged posts from social media,a restaurant or a cafe,location1
81,FBI acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at the mall,FBI,from geo-tagged posts from social media,the mall,location1
82,FBI acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a liquor store,FBI,from geo-tagged posts from social media,a liquor store,location1
83,FBI acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a shoe store,FBI,from geo-tagged posts from social media,a shoe store,location1
84,FBI acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at home,FBI,from geo-tagged posts from social media,home,location1
85,FBI acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at work,FBI,from geo-tagged posts from social media,work,location1
86,FBI acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a medical clinic,FBI,from geo-tagged posts from social media,a medical clinic,location1
87,FBI acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a voting site,FBI,from geo-tagged posts from social media,a voting site,location1
88,FBI acquires location data from a mapping app and uses this data to figure out if a person was at a restaurant or a cafe,FBI,a mapping app,a restaurant or a cafe,location1
89,FBI acquires location data from a mapping app and uses this data to figure out if a person was at the mall,FBI,a mapping app,the mall,location1
90,FBI acquires location data from a mapping app and uses this data to figure out if a person was at a liquor store,FBI,a mapping app,a liquor store,location1
91,FBI acquires location data from a mapping app and uses this data to figure out if a person was at a shoe store,FBI,a mapping app,a shoe store,location1
92,FBI acquires location data from a mapping app and uses this data to figure out if a person was at home,FBI,a mapping app,home,location1
93,FBI acquires location data from a mapping app and uses this data to figure out if a person was at work,FBI,a mapping app,work,location1
94,FBI acquires location data from a mapping app and uses this data to figure out if a person was at a medical clinic,FBI,a mapping app,a medical clinic,location1
95,FBI acquires location data from a mapping app and uses this data to figure out if a person was at a voting site,FBI,a mapping app,a voting site,location1
96,your employer acquires location data from license plate reader and uses this data to figure out if a person was at a restaurant or a cafe,your employer,license plate reader,a restaurant or a cafe,location1
97,your employer acquires location data from license plate reader and uses this data to figure out if a person was at the mall,your employer,license plate reader,the mall,location1
98,your employer acquires location data from license plate reader and uses this data to figure out if a person was at a liquor store,your employer,license plate reader,a liquor store,location1
99,your employer acquires location data from license plate reader and uses this data to figure out if a person was at a shoe store,your employer,license plate reader,a shoe store,location1
100,your employer acquires location data from license plate reader and uses this data to figure out if a person was at home,your employer,license plate reader,home,location1
101,your employer acquires location data from license plate reader and uses this data to figure out if a person was at work,your employer,license plate reader,work,location1
102,your employer acquires location data from license plate reader and uses this data to figure out if a person was at a medical clinic,your employer,license plate reader,a medical clinic,location1
103,your employer acquires location data from license plate reader and uses this data to figure out if a person was at a voting site,your employer,license plate reader,a voting site,location1
104,your employer acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a restaurant or a cafe,your employer,CCTV cameras with facial recognition,a restaurant or a cafe,location1
105,your employer acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at the mall,your employer,CCTV cameras with facial recognition,the mall,location1
106,your employer acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a liquor store,your employer,CCTV cameras with facial recognition,a liquor store,location1
107,your employer acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a shoe store,your employer,CCTV cameras with facial recognition,a shoe store,location1
108,your employer acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at home,your employer,CCTV cameras with facial recognition,home,location1
109,your employer acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at work,your employer,CCTV cameras with facial recognition,work,location1
110,your employer acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a medical clinic,your employer,CCTV cameras with facial recognition,a medical clinic,location1
111,your employer acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a voting site,your employer,CCTV cameras with facial recognition,a voting site,location1
112,your employer acquires location data from signal from mobile phone and uses this data to figure out if a person was at a restaurant or a cafe,your employer,signal from mobile phone,a restaurant or a cafe,location1
113,your employer acquires location data from signal from mobile phone and uses this data to figure out if a person was at the mall,your employer,signal from mobile phone,the mall,location1
114,your employer acquires location data from signal from mobile phone and uses this data to figure out if a person was at a liquor store,your employer,signal from mobile phone,a liquor store,location1
115,your employer acquires location data from signal from mobile phone and uses this data to figure out if a person was at a shoe store,your employer,signal from mobile phone,a shoe store,location1
116,your employer acquires location data from signal from mobile phone and uses this data to figure out if a person was at home,your employer,signal from mobile phone,home,location1
117,your employer acquires location data from signal from mobile phone and uses this data to figure out if a person was at work,your employer,signal from mobile phone,work,location1
118,your employer acquires location data from signal from mobile phone and uses this data to figure out if a person was at a medical clinic,your employer,signal from mobile phone,a medical clinic,location1
119,your employer acquires location data from signal from mobile phone and uses this data to figure out if a person was at a voting site,your employer,signal from mobile phone,a voting site,location1
120,your employer acquires location data from a fitness app and uses this data to figure out if a person was at a restaurant or a cafe,your employer,a fitness app,a restaurant or a cafe,location1
121,your employer acquires location data from a fitness app and uses this data to figure out if a person was at the mall,your employer,a fitness app,the mall,location1
122,your employer acquires location data from a fitness app and uses this data to figure out if a person was at a liquor store,your employer,a fitness app,a liquor store,location1
123,your employer acquires location data from a fitness app and uses this data to figure out if a person was at a shoe store,your employer,a fitness app,a shoe store,location1
124,your employer acquires location data from a fitness app and uses this data to figure out if a person was at home,your employer,a fitness app,home,location1
125,your employer acquires location data from a fitness app and uses this data to figure out if a person was at work,your employer,a fitness app,work,location1
126,your employer acquires location data from a fitness app and uses this data to figure out if a person was at a medical clinic,your employer,a fitness app,a medical clinic,location1
127,your employer acquires location data from a fitness app and uses this data to figure out if a person was at a voting site,your employer,a fitness app,a voting site,location1
128,your employer acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a restaurant or a cafe,your employer,from geo-tagged posts from social media,a restaurant or a cafe,location1
129,your employer acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at the mall,your employer,from geo-tagged posts from social media,the mall,location1
130,your employer acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a liquor store,your employer,from geo-tagged posts from social media,a liquor store,location1
131,your employer acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a shoe store,your employer,from geo-tagged posts from social media,a shoe store,location1
132,your employer acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at home,your employer,from geo-tagged posts from social media,home,location1
133,your employer acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at work,your employer,from geo-tagged posts from social media,work,location1
134,your employer acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a medical clinic,your employer,from geo-tagged posts from social media,a medical clinic,location1
135,your employer acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a voting site,your employer,from geo-tagged posts from social media,a voting site,location1
136,your employer acquires location data from a mapping app and uses this data to figure out if a person was at a restaurant or a cafe,your employer,a mapping app,a restaurant or a cafe,location1
137,your employer acquires location data from a mapping app and uses this data to figure out if a person was at the mall,your employer,a mapping app,the mall,location1
138,your employer acquires location data from a mapping app and uses this data to figure out if a person was at a liquor store,your employer,a mapping app,a liquor store,location1
139,your employer acquires location data from a mapping app and uses this data to figure out if a person was at a shoe store,your employer,a mapping app,a shoe store,location1
140,your employer acquires location data from a mapping app and uses this data to figure out if a person was at home,your employer,a mapping app,home,location1
141,your employer acquires location data from a mapping app and uses this data to figure out if a person was at work,your employer,a mapping app,work,location1
142,your employer acquires location data from a mapping app and uses this data to figure out if a person was at a medical clinic,your employer,a mapping app,a medical clinic,location1
143,your employer acquires location data from a mapping app and uses this data to figure out if a person was at a voting site,your employer,a mapping app,a voting site,location1
144,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,license plate reader,a restaurant or a cafe,location1
