,vignette,recipient,source,place,type
145,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at the mall,A commercial data brooker,license plate reader,the mall,location1
146,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at a liquor store,A commercial data brooker,license plate reader,a liquor store,location1
147,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at a shoe store,A commercial data brooker,license plate reader,a shoe store,location1
148,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at home,A commercial data brooker,license plate reader,home,location1
149,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at work,A commercial data brooker,license plate reader,work,location1
150,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,license plate reader,a medical clinic,location1
151,A commercial data brooker acquires location data from license plate reader and uses this data to figure out if a person was at a voting site,A commercial data brooker,license plate reader,a voting site,location1
152,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,CCTV cameras with facial recognition,a restaurant or a cafe,location1
153,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at the mall,A commercial data brooker,CCTV cameras with facial recognition,the mall,location1
154,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a liquor store,A commercial data brooker,CCTV cameras with facial recognition,a liquor store,location1
155,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a shoe store,A commercial data brooker,CCTV cameras with facial recognition,a shoe store,location1
156,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at home,A commercial data brooker,CCTV cameras with facial recognition,home,location1
157,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at work,A commercial data brooker,CCTV cameras with facial recognition,work,location1
158,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,CCTV cameras with facial recognition,a medical clinic,location1
159,A commercial data brooker acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a voting site,A commercial data brooker,CCTV cameras with facial recognition,a voting site,location1
160,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,signal from mobile phone,a restaurant or a cafe,location1
161,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at the mall,A commercial data brooker,signal from mobile phone,the mall,location1
162,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at a liquor store,A commercial data brooker,signal from mobile phone,a liquor store,location1
163,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at a shoe store,A commercial data brooker,signal from mobile phone,a shoe store,location1
164,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at home,A commercial data brooker,signal from mobile phone,home,location1
165,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at work,A commercial data brooker,signal from mobile phone,work,location1
166,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,signal from mobile phone,a medical clinic,location1
167,A commercial data brooker acquires location data from signal from mobile phone and uses this data to figure out if a person was at a voting site,A commercial data brooker,signal from mobile phone,a voting site,location1
168,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,a fitness app,a restaurant or a cafe,location1
169,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at the mall,A commercial data brooker,a fitness app,the mall,location1
170,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at a liquor store,A commercial data brooker,a fitness app,a liquor store,location1
171,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at a shoe store,A commercial data brooker,a fitness app,a shoe store,location1
172,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at home,A commercial data brooker,a fitness app,home,location1
173,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at work,A commercial data brooker,a fitness app,work,location1
174,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,a fitness app,a medical clinic,location1
175,A commercial data brooker acquires location data from a fitness app and uses this data to figure out if a person was at a voting site,A commercial data brooker,a fitness app,a voting site,location1
176,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,from geo-tagged posts from social media,a restaurant or a cafe,location1
177,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at the mall,A commercial data brooker,from geo-tagged posts from social media,the mall,location1
178,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a liquor store,A commercial data brooker,from geo-tagged posts from social media,a liquor store,location1
179,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a shoe store,A commercial data brooker,from geo-tagged posts from social media,a shoe store,location1
180,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at home,A commercial data brooker,from geo-tagged posts from social media,home,location1
181,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at work,A commercial data brooker,from geo-tagged posts from social media,work,location1
182,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,from geo-tagged posts from social media,a medical clinic,location1
183,A commercial data brooker acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a voting site,A commercial data brooker,from geo-tagged posts from social media,a voting site,location1
184,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at a restaurant or a cafe,A commercial data brooker,a mapping app,a restaurant or a cafe,location1
185,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at the mall,A commercial data brooker,a mapping app,the mall,location1
186,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at a liquor store,A commercial data brooker,a mapping app,a liquor store,location1
187,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at a shoe store,A commercial data brooker,a mapping app,a shoe store,location1
188,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at home,A commercial data brooker,a mapping app,home,location1
189,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at work,A commercial data brooker,a mapping app,work,location1
190,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at a medical clinic,A commercial data brooker,a mapping app,a medical clinic,location1
191,A commercial data brooker acquires location data from a mapping app and uses this data to figure out if a person was at a voting site,A commercial data brooker,a mapping app,a voting site,location1
192,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at a restaurant or a cafe,a commercial location based service,license plate reader,a restaurant or a cafe,location1
193,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at the mall,a commercial location based service,license plate reader,the mall,location1
194,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at a liquor store,a commercial location based service,license plate reader,a liquor store,location1
195,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at a shoe store,a commercial location based service,license plate reader,a shoe store,location1
196,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at home,a commercial location based service,license plate reader,home,location1
197,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at work,a commercial location based service,license plate reader,work,location1
198,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at a medical clinic,a commercial location based service,license plate reader,a medical clinic,location1
199,a commercial location based service acquires location data from license plate reader and uses this data to figure out if a person was at a voting site,a commercial location based service,license plate reader,a voting site,location1
200,a commercial location based service acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a restaurant or a cafe,a commercial location based service,CCTV cameras with facial recognition,a restaurant or a cafe,location1
201,a commercial location based service acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at the mall,a commercial location based service,CCTV cameras with facial recognition,the mall,location1
202,a commercial location based service acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a liquor store,a commercial location based service,CCTV cameras with facial recognition,a liquor store,location1
203,a commercial location based service acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a shoe store,a commercial location based service,CCTV cameras with facial recognition,a shoe store,location1
204,a commercial location based service acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at home,a commercial location based service,CCTV cameras with facial recognition,home,location1
205,a commercial location based service acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at work,a commercial location based service,CCTV cameras with facial recognition,work,location1
206,a commercial location based service acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a medical clinic,a commercial location based service,CCTV cameras with facial recognition,a medical clinic,location1
207,a commercial location based service acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a voting site,a commercial location based service,CCTV cameras with facial recognition,a voting site,location1
208,a commercial location based service acquires location data from signal from mobile phone and uses this data to figure out if a person was at a restaurant or a cafe,a commercial location based service,signal from mobile phone,a restaurant or a cafe,location1
209,a commercial location based service acquires location data from signal from mobile phone and uses this data to figure out if a person was at the mall,a commercial location based service,signal from mobile phone,the mall,location1
210,a commercial location based service acquires location data from signal from mobile phone and uses this data to figure out if a person was at a liquor store,a commercial location based service,signal from mobile phone,a liquor store,location1
211,a commercial location based service acquires location data from signal from mobile phone and uses this data to figure out if a person was at a shoe store,a commercial location based service,signal from mobile phone,a shoe store,location1
212,a commercial location based service acquires location data from signal from mobile phone and uses this data to figure out if a person was at home,a commercial location based service,signal from mobile phone,home,location1
213,a commercial location based service acquires location data from signal from mobile phone and uses this data to figure out if a person was at work,a commercial location based service,signal from mobile phone,work,location1
214,a commercial location based service acquires location data from signal from mobile phone and uses this data to figure out if a person was at a medical clinic,a commercial location based service,signal from mobile phone,a medical clinic,location1
215,a commercial location based service acquires location data from signal from mobile phone and uses this data to figure out if a person was at a voting site,a commercial location based service,signal from mobile phone,a voting site,location1
216,a commercial location based service acquires location data from a fitness app and uses this data to figure out if a person was at a restaurant or a cafe,a commercial location based service,a fitness app,a restaurant or a cafe,location1
217,a commercial location based service acquires location data from a fitness app and uses this data to figure out if a person was at the mall,a commercial location based service,a fitness app,the mall,location1
218,a commercial location based service acquires location data from a fitness app and uses this data to figure out if a person was at a liquor store,a commercial location based service,a fitness app,a liquor store,location1
219,a commercial location based service acquires location data from a fitness app and uses this data to figure out if a person was at a shoe store,a commercial location based service,a fitness app,a shoe store,location1
220,a commercial location based service acquires location data from a fitness app and uses this data to figure out if a person was at home,a commercial location based service,a fitness app,home,location1
221,a commercial location based service acquires location data from a fitness app and uses this data to figure out if a person was at work,a commercial location based service,a fitness app,work,location1
222,a commercial location based service acquires location data from a fitness app and uses this data to figure out if a person was at a medical clinic,a commercial location based service,a fitness app,a medical clinic,location1
223,a commercial location based service acquires location data from a fitness app and uses this data to figure out if a person was at a voting site,a commercial location based service,a fitness app,a voting site,location1
224,a commercial location based service acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a restaurant or a cafe,a commercial location based service,from geo-tagged posts from social media,a restaurant or a cafe,location1
225,a commercial location based service acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at the mall,a commercial location based service,from geo-tagged posts from social media,the mall,location1
226,a commercial location based service acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a liquor store,a commercial location based service,from geo-tagged posts from social media,a liquor store,location1
227,a commercial location based service acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a shoe store,a commercial location based service,from geo-tagged posts from social media,a shoe store,location1
228,a commercial location based service acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at home,a commercial location based service,from geo-tagged posts from social media,home,location1
229,a commercial location based service acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at work,a commercial location based service,from geo-tagged posts from social media,work,location1
230,a commercial location based service acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a medical clinic,a commercial location based service,from geo-tagged posts from social media,a medical clinic,location1
231,a commercial location based service acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a voting site,a commercial location based service,from geo-tagged posts from social media,a voting site,location1
232,a commercial location based service acquires location data from a mapping app and uses this data to figure out if a person was at a restaurant or a cafe,a commercial location based service,a mapping app,a restaurant or a cafe,location1
233,a commercial location based service acquires location data from a mapping app and uses this data to figure out if a person was at the mall,a commercial location based service,a mapping app,the mall,location1
234,a commercial location based service acquires location data from a mapping app and uses this data to figure out if a person was at a liquor store,a commercial location based service,a mapping app,a liquor store,location1
235,a commercial location based service acquires location data from a mapping app and uses this data to figure out if a person was at a shoe store,a commercial location based service,a mapping app,a shoe store,location1
236,a commercial location based service acquires location data from a mapping app and uses this data to figure out if a person was at home,a commercial location based service,a mapping app,home,location1
237,a commercial location based service acquires location data from a mapping app and uses this data to figure out if a person was at work,a commercial location based service,a mapping app,work,location1
238,a commercial location based service acquires location data from a mapping app and uses this data to figure out if a person was at a medical clinic,a commercial location based service,a mapping app,a medical clinic,location1
239,a commercial location based service acquires location data from a mapping app and uses this data to figure out if a person was at a voting site,a commercial location based service,a mapping app,a voting site,location1
240,a family member acquires location data from license plate reader and uses this data to figure out if a person was at a restaurant or a cafe,a family member,license plate reader,a restaurant or a cafe,location1
241,a family member acquires location data from license plate reader and uses this data to figure out if a person was at the mall,a family member,license plate reader,the mall,location1
242,a family member acquires location data from license plate reader and uses this data to figure out if a person was at a liquor store,a family member,license plate reader,a liquor store,location1
243,a family member acquires location data from license plate reader and uses this data to figure out if a person was at a shoe store,a family member,license plate reader,a shoe store,location1
244,a family member acquires location data from license plate reader and uses this data to figure out if a person was at home,a family member,license plate reader,home,location1
245,a family member acquires location data from license plate reader and uses this data to figure out if a person was at work,a family member,license plate reader,work,location1
246,a family member acquires location data from license plate reader and uses this data to figure out if a person was at a medical clinic,a family member,license plate reader,a medical clinic,location1
247,a family member acquires location data from license plate reader and uses this data to figure out if a person was at a voting site,a family member,license plate reader,a voting site,location1
248,a family member acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a restaurant or a cafe,a family member,CCTV cameras with facial recognition,a restaurant or a cafe,location1
249,a family member acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at the mall,a family member,CCTV cameras with facial recognition,the mall,location1
250,a family member acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a liquor store,a family member,CCTV cameras with facial recognition,a liquor store,location1
251,a family member acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a shoe store,a family member,CCTV cameras with facial recognition,a shoe store,location1
252,a family member acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at home,a family member,CCTV cameras with facial recognition,home,location1
253,a family member acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at work,a family member,CCTV cameras with facial recognition,work,location1
254,a family member acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a medical clinic,a family member,CCTV cameras with facial recognition,a medical clinic,location1
255,a family member acquires location data from CCTV cameras with facial recognition and uses this data to figure out if a person was at a voting site,a family member,CCTV cameras with facial recognition,a voting site,location1
256,a family member acquires location data from signal from mobile phone and uses this data to figure out if a person was at a restaurant or a cafe,a family member,signal from mobile phone,a restaurant or a cafe,location1
257,a family member acquires location data from signal from mobile phone and uses this data to figure out if a person was at the mall,a family member,signal from mobile phone,the mall,location1
258,a family member acquires location data from signal from mobile phone and uses this data to figure out if a person was at a liquor store,a family member,signal from mobile phone,a liquor store,location1
259,a family member acquires location data from signal from mobile phone and uses this data to figure out if a person was at a shoe store,a family member,signal from mobile phone,a shoe store,location1
260,a family member acquires location data from signal from mobile phone and uses this data to figure out if a person was at home,a family member,signal from mobile phone,home,location1
261,a family member acquires location data from signal from mobile phone and uses this data to figure out if a person was at work,a family member,signal from mobile phone,work,location1
262,a family member acquires location data from signal from mobile phone and uses this data to figure out if a person was at a medical clinic,a family member,signal from mobile phone,a medical clinic,location1
263,a family member acquires location data from signal from mobile phone and uses this data to figure out if a person was at a voting site,a family member,signal from mobile phone,a voting site,location1
264,a family member acquires location data from a fitness app and uses this data to figure out if a person was at a restaurant or a cafe,a family member,a fitness app,a restaurant or a cafe,location1
265,a family member acquires location data from a fitness app and uses this data to figure out if a person was at the mall,a family member,a fitness app,the mall,location1
266,a family member acquires location data from a fitness app and uses this data to figure out if a person was at a liquor store,a family member,a fitness app,a liquor store,location1
267,a family member acquires location data from a fitness app and uses this data to figure out if a person was at a shoe store,a family member,a fitness app,a shoe store,location1
268,a family member acquires location data from a fitness app and uses this data to figure out if a person was at home,a family member,a fitness app,home,location1
269,a family member acquires location data from a fitness app and uses this data to figure out if a person was at work,a family member,a fitness app,work,location1
270,a family member acquires location data from a fitness app and uses this data to figure out if a person was at a medical clinic,a family member,a fitness app,a medical clinic,location1
271,a family member acquires location data from a fitness app and uses this data to figure out if a person was at a voting site,a family member,a fitness app,a voting site,location1
272,a family member acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a restaurant or a cafe,a family member,from geo-tagged posts from social media,a restaurant or a cafe,location1
273,a family member acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at the mall,a family member,from geo-tagged posts from social media,the mall,location1
274,a family member acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a liquor store,a family member,from geo-tagged posts from social media,a liquor store,location1
275,a family member acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a shoe store,a family member,from geo-tagged posts from social media,a shoe store,location1
276,a family member acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at home,a family member,from geo-tagged posts from social media,home,location1
277,a family member acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at work,a family member,from geo-tagged posts from social media,work,location1
278,a family member acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a medical clinic,a family member,from geo-tagged posts from social media,a medical clinic,location1
279,a family member acquires location data from from geo-tagged posts from social media and uses this data to figure out if a person was at a voting site,a family member,from geo-tagged posts from social media,a voting site,location1
280,a family member acquires location data from a mapping app and uses this data to figure out if a person was at a restaurant or a cafe,a family member,a mapping app,a restaurant or a cafe,location1
281,a family member acquires location data from a mapping app and uses this data to figure out if a person was at the mall,a family member,a mapping app,the mall,location1
282,a family member acquires location data from a mapping app and uses this data to figure out if a person was at a liquor store,a family member,a mapping app,a liquor store,location1
283,a family member acquires location data from a mapping app and uses this data to figure out if a person was at a shoe store,a family member,a mapping app,a shoe store,location1
284,a family member acquires location data from a mapping app and uses this data to figure out if a person was at home,a family member,a mapping app,home,location1
285,a family member acquires location data from a mapping app and uses this data to figure out if a person was at work,a family member,a mapping app,work,location1
286,a family member acquires location data from a mapping app and uses this data to figure out if a person was at a medical clinic,a family member,a mapping app,a medical clinic,location1
287,a family member acquires location data from a mapping app and uses this data to figure out if a person was at a voting site,a family member,a mapping app,a voting site,location1
