,vignette,actor,infotype,use,type
0,"A browser collects your your likes, clicks and engagement online. The company keeps the new knowledge for others to place ads targeted to you while you are online later",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web1
1,"A browser collects your your likes, clicks and engagement online. The company keeps the new knowledge to improve services generally",browser,"your likes, clicks and engagement online",to improve services generally,web1
2,"A browser collects your your likes, clicks and engagement online. The company keeps the new knowledge to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web1
3,"A browser collects your your likes, clicks and engagement online. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web1
4,A browser collects your your location. The company keeps the new knowledge for others to place ads targeted to you while you are online later,browser,your location,for others to place ads targeted to you while you are online later,web1
5,A browser collects your your location. The company keeps the new knowledge to improve services generally,browser,your location,to improve services generally,web1
6,A browser collects your your location. The company keeps the new knowledge to place ads targeted to you while on their site,browser,your location,to place ads targeted to you while on their site,web1
7,"A browser collects your your location. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
8,A browser collects your your search history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,browser,your search history,for others to place ads targeted to you while you are online later,web1
9,A browser collects your your search history. The company keeps the new knowledge to improve services generally,browser,your search history,to improve services generally,web1
10,A browser collects your your search history. The company keeps the new knowledge to place ads targeted to you while on their site,browser,your search history,to place ads targeted to you while on their site,web1
11,"A browser collects your your search history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
12,A browser collects your the data you included in your profile. The company keeps the new knowledge for others to place ads targeted to you while you are online later,browser,the data you included in your profile,for others to place ads targeted to you while you are online later,web1
13,A browser collects your the data you included in your profile. The company keeps the new knowledge to improve services generally,browser,the data you included in your profile,to improve services generally,web1
14,A browser collects your the data you included in your profile. The company keeps the new knowledge to place ads targeted to you while on their site,browser,the data you included in your profile,to place ads targeted to you while on their site,web1
15,"A browser collects your the data you included in your profile. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
16,A browser collects your your web activity including browsing or purchase history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,browser,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web1
17,A browser collects your your web activity including browsing or purchase history. The company keeps the new knowledge to improve services generally,browser,your web activity including browsing or purchase history,to improve services generally,web1
18,A browser collects your your web activity including browsing or purchase history. The company keeps the new knowledge to place ads targeted to you while on their site,browser,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web1
19,"A browser collects your your web activity including browsing or purchase history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
20,"A search engine collects your your likes, clicks and engagement online. The company keeps the new knowledge for others to place ads targeted to you while you are online later",search engine,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web1
21,"A search engine collects your your likes, clicks and engagement online. The company keeps the new knowledge to improve services generally",search engine,"your likes, clicks and engagement online",to improve services generally,web1
22,"A search engine collects your your likes, clicks and engagement online. The company keeps the new knowledge to place ads targeted to you while on their site",search engine,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web1
23,"A search engine collects your your likes, clicks and engagement online. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web1
24,A search engine collects your your location. The company keeps the new knowledge for others to place ads targeted to you while you are online later,search engine,your location,for others to place ads targeted to you while you are online later,web1
25,A search engine collects your your location. The company keeps the new knowledge to improve services generally,search engine,your location,to improve services generally,web1
26,A search engine collects your your location. The company keeps the new knowledge to place ads targeted to you while on their site,search engine,your location,to place ads targeted to you while on their site,web1
27,"A search engine collects your your location. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
28,A search engine collects your your search history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,search engine,your search history,for others to place ads targeted to you while you are online later,web1
29,A search engine collects your your search history. The company keeps the new knowledge to improve services generally,search engine,your search history,to improve services generally,web1
30,A search engine collects your your search history. The company keeps the new knowledge to place ads targeted to you while on their site,search engine,your search history,to place ads targeted to you while on their site,web1
31,"A search engine collects your your search history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
32,A search engine collects your the data you included in your profile. The company keeps the new knowledge for others to place ads targeted to you while you are online later,search engine,the data you included in your profile,for others to place ads targeted to you while you are online later,web1
33,A search engine collects your the data you included in your profile. The company keeps the new knowledge to improve services generally,search engine,the data you included in your profile,to improve services generally,web1
34,A search engine collects your the data you included in your profile. The company keeps the new knowledge to place ads targeted to you while on their site,search engine,the data you included in your profile,to place ads targeted to you while on their site,web1
35,"A search engine collects your the data you included in your profile. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
36,A search engine collects your your web activity including browsing or purchase history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,search engine,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web1
37,A search engine collects your your web activity including browsing or purchase history. The company keeps the new knowledge to improve services generally,search engine,your web activity including browsing or purchase history,to improve services generally,web1
38,A search engine collects your your web activity including browsing or purchase history. The company keeps the new knowledge to place ads targeted to you while on their site,search engine,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web1
39,"A search engine collects your your web activity including browsing or purchase history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
40,"A social media site connecting friends and acquaintances collects your your likes, clicks and engagement online. The company keeps the new knowledge for others to place ads targeted to you while you are online later",social media site connecting friends and acquaintances,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web1
41,"A social media site connecting friends and acquaintances collects your your likes, clicks and engagement online. The company keeps the new knowledge to improve services generally",social media site connecting friends and acquaintances,"your likes, clicks and engagement online",to improve services generally,web1
42,"A social media site connecting friends and acquaintances collects your your likes, clicks and engagement online. The company keeps the new knowledge to place ads targeted to you while on their site",social media site connecting friends and acquaintances,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web1
43,"A social media site connecting friends and acquaintances collects your your likes, clicks and engagement online. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",social media site connecting friends and acquaintances,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web1
44,A social media site connecting friends and acquaintances collects your your location. The company keeps the new knowledge for others to place ads targeted to you while you are online later,social media site connecting friends and acquaintances,your location,for others to place ads targeted to you while you are online later,web1
45,A social media site connecting friends and acquaintances collects your your location. The company keeps the new knowledge to improve services generally,social media site connecting friends and acquaintances,your location,to improve services generally,web1
46,A social media site connecting friends and acquaintances collects your your location. The company keeps the new knowledge to place ads targeted to you while on their site,social media site connecting friends and acquaintances,your location,to place ads targeted to you while on their site,web1
47,"A social media site connecting friends and acquaintances collects your your location. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",social media site connecting friends and acquaintances,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
48,A social media site connecting friends and acquaintances collects your your search history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,social media site connecting friends and acquaintances,your search history,for others to place ads targeted to you while you are online later,web1
49,A social media site connecting friends and acquaintances collects your your search history. The company keeps the new knowledge to improve services generally,social media site connecting friends and acquaintances,your search history,to improve services generally,web1
50,A social media site connecting friends and acquaintances collects your your search history. The company keeps the new knowledge to place ads targeted to you while on their site,social media site connecting friends and acquaintances,your search history,to place ads targeted to you while on their site,web1
51,"A social media site connecting friends and acquaintances collects your your search history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",social media site connecting friends and acquaintances,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
52,A social media site connecting friends and acquaintances collects your the data you included in your profile. The company keeps the new knowledge for others to place ads targeted to you while you are online later,social media site connecting friends and acquaintances,the data you included in your profile,for others to place ads targeted to you while you are online later,web1
53,A social media site connecting friends and acquaintances collects your the data you included in your profile. The company keeps the new knowledge to improve services generally,social media site connecting friends and acquaintances,the data you included in your profile,to improve services generally,web1
54,A social media site connecting friends and acquaintances collects your the data you included in your profile. The company keeps the new knowledge to place ads targeted to you while on their site,social media site connecting friends and acquaintances,the data you included in your profile,to place ads targeted to you while on their site,web1
55,"A social media site connecting friends and acquaintances collects your the data you included in your profile. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",social media site connecting friends and acquaintances,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
56,A social media site connecting friends and acquaintances collects your your web activity including browsing or purchase history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,social media site connecting friends and acquaintances,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web1
57,A social media site connecting friends and acquaintances collects your your web activity including browsing or purchase history. The company keeps the new knowledge to improve services generally,social media site connecting friends and acquaintances,your web activity including browsing or purchase history,to improve services generally,web1
58,A social media site connecting friends and acquaintances collects your your web activity including browsing or purchase history. The company keeps the new knowledge to place ads targeted to you while on their site,social media site connecting friends and acquaintances,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web1
59,"A social media site connecting friends and acquaintances collects your your web activity including browsing or purchase history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",social media site connecting friends and acquaintances,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
60,"A social media site focussed on sharing photos or videos collects your your likes, clicks and engagement online. The company keeps the new knowledge for others to place ads targeted to you while you are online later",social media site focussed on sharing photos or videos,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web1
61,"A social media site focussed on sharing photos or videos collects your your likes, clicks and engagement online. The company keeps the new knowledge to improve services generally",social media site focussed on sharing photos or videos,"your likes, clicks and engagement online",to improve services generally,web1
62,"A social media site focussed on sharing photos or videos collects your your likes, clicks and engagement online. The company keeps the new knowledge to place ads targeted to you while on their site",social media site focussed on sharing photos or videos,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web1
63,"A social media site focussed on sharing photos or videos collects your your likes, clicks and engagement online. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",social media site focussed on sharing photos or videos,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web1
64,A social media site focussed on sharing photos or videos collects your your location. The company keeps the new knowledge for others to place ads targeted to you while you are online later,social media site focussed on sharing photos or videos,your location,for others to place ads targeted to you while you are online later,web1
65,A social media site focussed on sharing photos or videos collects your your location. The company keeps the new knowledge to improve services generally,social media site focussed on sharing photos or videos,your location,to improve services generally,web1
66,A social media site focussed on sharing photos or videos collects your your location. The company keeps the new knowledge to place ads targeted to you while on their site,social media site focussed on sharing photos or videos,your location,to place ads targeted to you while on their site,web1
67,"A social media site focussed on sharing photos or videos collects your your location. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",social media site focussed on sharing photos or videos,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
68,A social media site focussed on sharing photos or videos collects your your search history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,social media site focussed on sharing photos or videos,your search history,for others to place ads targeted to you while you are online later,web1
69,A social media site focussed on sharing photos or videos collects your your search history. The company keeps the new knowledge to improve services generally,social media site focussed on sharing photos or videos,your search history,to improve services generally,web1
70,A social media site focussed on sharing photos or videos collects your your search history. The company keeps the new knowledge to place ads targeted to you while on their site,social media site focussed on sharing photos or videos,your search history,to place ads targeted to you while on their site,web1
71,"A social media site focussed on sharing photos or videos collects your your search history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",social media site focussed on sharing photos or videos,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
72,A social media site focussed on sharing photos or videos collects your the data you included in your profile. The company keeps the new knowledge for others to place ads targeted to you while you are online later,social media site focussed on sharing photos or videos,the data you included in your profile,for others to place ads targeted to you while you are online later,web1
73,A social media site focussed on sharing photos or videos collects your the data you included in your profile. The company keeps the new knowledge to improve services generally,social media site focussed on sharing photos or videos,the data you included in your profile,to improve services generally,web1
74,A social media site focussed on sharing photos or videos collects your the data you included in your profile. The company keeps the new knowledge to place ads targeted to you while on their site,social media site focussed on sharing photos or videos,the data you included in your profile,to place ads targeted to you while on their site,web1
75,"A social media site focussed on sharing photos or videos collects your the data you included in your profile. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",social media site focussed on sharing photos or videos,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
76,A social media site focussed on sharing photos or videos collects your your web activity including browsing or purchase history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,social media site focussed on sharing photos or videos,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web1
77,A social media site focussed on sharing photos or videos collects your your web activity including browsing or purchase history. The company keeps the new knowledge to improve services generally,social media site focussed on sharing photos or videos,your web activity including browsing or purchase history,to improve services generally,web1
78,A social media site focussed on sharing photos or videos collects your your web activity including browsing or purchase history. The company keeps the new knowledge to place ads targeted to you while on their site,social media site focussed on sharing photos or videos,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web1
79,"A social media site focussed on sharing photos or videos collects your your web activity including browsing or purchase history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",social media site focussed on sharing photos or videos,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
80,"A new site collects your your likes, clicks and engagement online. The company keeps the new knowledge for others to place ads targeted to you while you are online later",new site,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web1
81,"A new site collects your your likes, clicks and engagement online. The company keeps the new knowledge to improve services generally",new site,"your likes, clicks and engagement online",to improve services generally,web1
82,"A new site collects your your likes, clicks and engagement online. The company keeps the new knowledge to place ads targeted to you while on their site",new site,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web1
83,"A new site collects your your likes, clicks and engagement online. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",new site,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web1
84,A new site collects your your location. The company keeps the new knowledge for others to place ads targeted to you while you are online later,new site,your location,for others to place ads targeted to you while you are online later,web1
85,A new site collects your your location. The company keeps the new knowledge to improve services generally,new site,your location,to improve services generally,web1
86,A new site collects your your location. The company keeps the new knowledge to place ads targeted to you while on their site,new site,your location,to place ads targeted to you while on their site,web1
87,"A new site collects your your location. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",new site,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
88,A new site collects your your search history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,new site,your search history,for others to place ads targeted to you while you are online later,web1
89,A new site collects your your search history. The company keeps the new knowledge to improve services generally,new site,your search history,to improve services generally,web1
90,A new site collects your your search history. The company keeps the new knowledge to place ads targeted to you while on their site,new site,your search history,to place ads targeted to you while on their site,web1
91,"A new site collects your your search history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",new site,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
92,A new site collects your the data you included in your profile. The company keeps the new knowledge for others to place ads targeted to you while you are online later,new site,the data you included in your profile,for others to place ads targeted to you while you are online later,web1
93,A new site collects your the data you included in your profile. The company keeps the new knowledge to improve services generally,new site,the data you included in your profile,to improve services generally,web1
94,A new site collects your the data you included in your profile. The company keeps the new knowledge to place ads targeted to you while on their site,new site,the data you included in your profile,to place ads targeted to you while on their site,web1
95,"A new site collects your the data you included in your profile. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",new site,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
96,A new site collects your your web activity including browsing or purchase history. The company keeps the new knowledge for others to place ads targeted to you while you are online later,new site,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web1
97,A new site collects your your web activity including browsing or purchase history. The company keeps the new knowledge to improve services generally,new site,your web activity including browsing or purchase history,to improve services generally,web1
98,A new site collects your your web activity including browsing or purchase history. The company keeps the new knowledge to place ads targeted to you while on their site,new site,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web1
99,"A new site collects your your web activity including browsing or purchase history. The company keeps the new knowledge to sell access to their data (e.g., to a potential buyer or lending institution)",new site,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web1
